Bereich,Komponente,Detail,Status
Design & Konzeption,Farbsystem,"Dark Theme: Schwarz (#0C0B09), Gold (#C4A84C), Rot (#A61216), abgestufte Grautöne",erledigt
Design & Konzeption,Typografie,"Cormorant Garamond (Überschriften), DM Sans (Fließtext) — Google Fonts",erledigt
Design & Konzeption,Responsive Design,"Breakpoints bei 1024px, 768px, 420px — Desktop, Tablet, Mobile (Pixel 7/10 getestet)",erledigt
Design & Konzeption,Technologie,"Single-File HTML mit Inline-CSS, kein Build-Step, vanilla JS",erledigt
,,
Startseite,Video-Hero Desktop,"Video_Hero_ohne_Hogger.mp4 (Slow-Motion 0.45x), physisch zugeschnitten und re-encoded (CRF 18)",erledigt
Startseite,Video-Hero Mobile,"Video_Hero_mit_Hogger.mp4 (gecroppt 1280x520), separates Video für Mobile",erledigt
Startseite,Navigation,"Fixed Nav mit Blur-Backdrop, Mobile Hamburger-Menü (z-index 250), konsistent auf allen 27 Seiten",erledigt
Startseite,Gold-Banner,"Marquee mit Leistungsbegriffen (Kachelöfen, Heizkamine, Speicheröfen etc.), auf Mobile ausgeblendet",erledigt
Startseite,Leistungen,"4 Kacheln mit Icons, jeweils verlinkt zu Detailseiten",erledigt
Startseite,Fliesen.Studio Teaser,"Hero-Bild, 3 Kategorie-Kacheln (Mexicotto, Stein-/Marmor, Naturstein/Outdoor)",erledigt
Startseite,Über uns Sektion,"Portrait mit Name-Overlay, Zitat, animierte Credentials (50+ Projekte, 15+ Jahre, 100% Meister)",erledigt
Startseite,Mini Foto-Teaser,"Kamera-Icon, Visualisierung in 48h, Link zu Kontaktbereich",erledigt
Startseite,Qualitäts-Features,"4 Kacheln: Meisterbetrieb, Pünktlichkeit, Regionalität, Individuelle Lösungen",erledigt
Startseite,Trust-Streifen,"Rosenheims Beste Logo, Meisterbetrieb Badge, Google 5.0, MyHammer",erledigt
Startseite,Referenzen-Grid,"5 Ofen-Bilder mit Hover-Overlay + 4 native TikTok-Videos",erledigt
Startseite,Rezensionen,"3 Google-Bewertungen mit Sternen, Avatar, Autor",erledigt
Startseite,TikTok Profil-Embed,"Offizieller oEmbed mit Follow-Button, 16px abgerundete Ecken",erledigt
Startseite,Prozess/Ablauf,"4 Schritte: Erstgespräch, Planung, Handwerk, Übergabe",erledigt
Startseite,FAQ-Sektion,"6 Fragen mit Akkordeon (Kosten, Dauer, Genehmigung, Modernisierung, Gebiete, Fliesen)",erledigt
Startseite,Kontakt-System,"Quick-Contact (Freitext + WhatsApp/E-Mail), Foto-Upload-Feature, ausklappbares Detailformular",erledigt
Startseite,Floating Buttons,"WhatsApp (grün), E-Mail (gold), Foto (dunkel) — rechts fixiert, responsive",erledigt
Startseite,Partner-Logos,"Austroflamm, Brunner, Spartherm, Ofen Innovativ, LEDA",erledigt
Startseite,Partnerfirmen,"Mexicotto / ATB-Import, Kayser & Staimer GbR / Garten & Design",erledigt
Startseite,Footer,"5 Spalten: Leistungen, Wissen, Regionen, Kontakt, Brand + Über uns/Referenzen",erledigt
,,
Fliesen.Studio,Page-Hero,"Bild-Overlay mit Headline und CTA",erledigt
Fliesen.Studio,Intro-Grid,"Schwerpunkt + Beschreibung (2-spaltig)",erledigt
Fliesen.Studio,Kategorie-Karten,"Mexicotto, Stein-/Marmor, Naturstein/Outdoor — mit Bildern",erledigt
Fliesen.Studio,Highlight-Strip,"19+ Kollektionen, 5 Stilrichtungen, 2cm Outdoor, 1 Ansprechpartner",erledigt
Fliesen.Studio,Galerie,"6 Bilder mit Hover-Tags",erledigt
Fliesen.Studio,CTA,"Beratungstermin anfragen",erledigt
,,
Über uns,Hero,"Clean Dark Hero mit animierter Typografie",erledigt
Über uns,Credentials Counter,"50+ Projekte, 15+ Jahre, 2021 Meistertitel, 5.0 Sterne — animiert",erledigt
Über uns,Scrollytelling Kapitel 1,"Die Entscheidung (2010) — Bild sticky links, Text scrollt rechts",erledigt
Über uns,Zitat-Banner,"Feuer ist mehr als Wärme — Cormorant Garamond italic",erledigt
Über uns,Scrollytelling Kapitel 2,"Der Meistertitel (2021) — reversed Layout",erledigt
Über uns,Team-Foto,"Bastian & Carina Hogger, Parallax-Effekt, Caption",erledigt
Über uns,Werte-Grid,"3 Karten: Meisterqualität, Verlässlichkeit, Regionalität",erledigt
Über uns,Timeline,"Vertikale Zeitachse 2010–2025, 5 Meilensteine, alternierend, goldene Dots",erledigt
,,
Referenzen,Parallax-Hero,"Scroll-Zoom-Effekt auf Hero-Bild",erledigt
Referenzen,Counter Animation,"50+ Projekte, 15+ Jahre, 100% Meister, 5.0 Sterne",erledigt
Referenzen,4 Projekt-Showcases,"Scrollytelling: Bild sticky, Text scrollt, alternierend links/rechts",erledigt
Referenzen,Video-Showcase,"4 TikTok-Videos, auto-play on scroll via IntersectionObserver",erledigt
Referenzen,Horizontale Parallax-Galerie,"10 Bilder, scroll-gesteuerte horizontale Bewegung",erledigt
Referenzen,Einzelprojekte verlinkt,"3 Detail-Karten mit Bild und Link",erledigt
,,
Referenz-Einzelseiten,Heizkamin Rosenheim,"Projekt-Story, Sidebar (Typ/Ort/Jahr/Dauer/Material/Leistung), Galerie, Kundenzitat",erledigt
Referenz-Einzelseiten,Kachelofen Prien,"gleiche Struktur, einzigartige Story",erledigt
Referenz-Einzelseiten,Einsatztausch Kolbermoor,"gleiche Struktur, einzigartige Story",erledigt
Referenz-Einzelseiten,Cross-Links,"Weitere Projekte Sektion auf jeder Einzelseite",erledigt
,,
Leistungs-Landingpages,Kachelofen Rosenheim,"Vorteile, Leistungen, 3 Preisstufen (ab 8.000€), Ablauf, Galerie, FAQ",erledigt
Leistungs-Landingpages,Heizkamin Rosenheim,"4 Arten (Tunnel/Eck/3-seitig/bodentief), 3 Preisstufen (ab 5.000€), FAQ",erledigt
Leistungs-Landingpages,Grundofen Rosenheim,"Funktionsweise, Vorteile, Preise, FAQ",erledigt
Leistungs-Landingpages,Ofen modernisieren / Einsatztausch,"BImSchV-Fristen-Tabelle, Sanierung vs. Neubau, 4 Preisstufen (ab 3.500€)",erledigt
Leistungs-Landingpages,Kamin sanieren,"5 Probleme, 5 Lösungen, Entscheidungshilfe, 4 Preisstufen (ab 500€)",erledigt
Leistungs-Landingpages,Ofenbauer Rosenheim,"Komplettseite: Portrait, 5 Leistungskarten, Referenzen, Reviews, Einzugsgebiet, Preisübersicht",erledigt
,,
Wissens-/Content-Seiten,Was kostet ein Ofen?,"Preisguide: 5 Ofentypen, Kostenfaktoren, versteckte Kosten, Förderungen, Vergleichstabelle, Lesefortschrittsbalken",erledigt
Wissens-/Content-Seiten,Kachelofen vs Kamin,"Erklärung beider Typen, 8-Kriterien-Vergleichstabelle, Entscheidungshilfe (4 Personas)",erledigt
Wissens-/Content-Seiten,Speicherofen Vorteile,"Funktionsprinzip, 7 Vorteile, 3-Wege-Vergleich (Speicher/Kamin/Grundofen), Zielgruppen",erledigt
Wissens-/Content-Seiten,BImSchV-Ratgeber,"Gesetzliche Vorgaben, Fristen, Grenzwerte, Handlungsempfehlungen",erledigt
Wissens-/Content-Seiten,Kachelofen Förderung,"BAFA, KfW, steuerliche Absetzbarkeit, Voraussetzungen, Antragsprozess",erledigt
Wissens-/Content-Seiten,Ofen im Neubau,"Frühzeitige Planung, 8-Punkte-Checkliste, Timeline (Rohbau→Fertigstellung), Kosten",erledigt
Wissens-/Content-Seiten,Ofen im Altbau,"5 Herausforderungen, 4 Lösungen (Edelstahlschornstein etc.), Einsatztausch als Alternative",erledigt
,,
Lokale SEO-Seiten,Ofenbauer Rosenheim,"Hauptseite mit allen Leistungen, Referenzen, Bewertungen, Einzugsgebiet",erledigt
Lokale SEO-Seiten,Ofenbauer Kolbermoor,"~5km, 10 Min Fahrt, lokale Referenz, 3 FAQ",erledigt
Lokale SEO-Seiten,Ofenbauer Bad Aibling,"~15km, 20 Min Fahrt, lokale Referenz, 3 FAQ",erledigt
Lokale SEO-Seiten,Ofenbauer Prien am Chiemsee,"~20km, 25 Min Fahrt, lokale Referenz, 3 FAQ",erledigt
Lokale SEO-Seiten,Ofenbauer Wasserburg am Inn,"~25km, 30 Min Fahrt, lokale Referenz, Altbau-Expertise, 3 FAQ",erledigt
,,
